"ID";"Perioden";"TotaleOnderwijsuitgaven_1";"TotaalAanOnderwijsinstellingen_2";"UitgavenDoorDePubliekeSector_3";"UitgavenDoorDePrivateSector_4";"AanHuishoudens_5";"AanBedrijvenNonProfitInstellingen_6";"Consolidatie_7";"PerHoofdVanDeBevolking_8";"InVanHetBbp_9";"TotaleOnderwijsuitgaven_10";"PerHoofdVanDeBevolking_11";"TotaalAanOnderwijsinstellingen_12";"TotaalPubliekAanOnderwijsinstellingen_13";"TotaalPrePrimairOnderwijs_14";"Basisonderwijs_15";"SpeciaalOnderwijs_16";"TotaalSecundairOnderwijs_17";"VoortgezetOnderwijs_18";"BeroepsonderwijsEnVolwasseneducatie_19";"TotaalTertiairOnderwijs_20";"HogerBeroepsonderwijs_21";"WetenschappelijkOnderwijs_22";"TotaalPrivaatAanOnderwijsinstellingen_23";"UitgavenDoorHuishoudens_24";"UitgavenDoorBedrijvenNonProfit_25";"UitgavenDoorHetBuitenland_26";"TotaalAanOnderwijsinstellingen_27";"TotaalPubliekAanOnderwijsinstellingen_28";"PrePrimairOnderwijs_29";"SecundairOnderwijs_30";"TertiairOnderwijs_31";"UitgavenDoorDePrivateSector_32";"PrePrimairOnderwijs_33";"SecundairOnderwijs_34";"TertiairOnderwijs_35";"TertiairOnderwijsExclRD_36";"PrePrimairOnderwijs_37";"SecundairOnderwijs_38";"TertiairOnderwijs_39";"TertiairOnderwijsExclRD_40";"AanNietOnderwijsinstellingen_41"
"0";"1995JJ00";"    18.2";"    16.4";"    13.7";"     2.7";"     1.9";"     0.1";"    -0.1";"  1181.6";"     6.0";"    18.2";"  1181.6";"    16.4";"    13.7";"     4.6";"     3.9";"     0.6";"     5.2";"     3.8";"     1.4";"     3.9";"     1.2";"     2.7";"     2.7";"     1.4";"     1.2";"     0.0";"     5.4";"     4.5";"     1.5";"     1.7";"     1.3";"     0.9";"     2.9";"     4.8";"    10.4";"     6.7";"     2.9";"     4.8";"    10.4";"     6.7";"     0.8"
"1";"1996JJ00";"    18.6";"    16.8";"    14.0";"     2.7";"     1.9";"     0.2";"    -0.3";"  1200.4";"     5.8";"    18.4";"  1185.7";"    16.8";"    14.0";"     4.8";"     4.1";"     0.7";"     5.3";"     3.9";"     1.4";"     3.9";"     1.2";"     2.7";"     2.7";"     1.5";"     1.2";"     0.0";"     5.2";"     4.4";"     1.5";"     1.7";"     1.2";"     0.9";"     3.0";"     4.9";"    10.7";"     6.9";"     3.0";"     4.9";"    10.5";"     6.8";"     0.8"
"2";"1997JJ00";"    18.9";"    17.0";"    14.2";"     2.8";"     2.0";"     0.2";"    -0.3";"  1217.0";"     5.5";"    18.2";"  1171.0";"    17.0";"    14.2";"     5.0";"     4.4";"     0.7";"     5.3";"     3.9";"     1.4";"     3.9";"     1.2";"     2.7";"     2.8";"     1.5";"     1.2";"     0.0";"     5.0";"     4.2";"     1.5";"     1.6";"     1.1";"     0.8";"     3.1";"     5.0";"    10.9";"     6.9";"     3.0";"     4.8";"    10.5";"     6.7";"     0.8"
"3";"1998JJ00";"    20.6";"    18.7";"    15.7";"     3.0";"     2.0";"     0.2";"    -0.3";"  1317.5";"     5.7";"    19.5";"  1243.5";"    18.7";"    15.7";"     5.7";"     4.9";"     0.7";"     5.9";"     4.4";"     1.6";"     4.0";"     1.3";"     2.7";"     3.0";"     1.6";"     1.4";"     0.0";"     5.1";"     4.3";"     1.6";"     1.6";"     1.1";"     0.8";"     3.5";"     5.5";"    11.4";"     7.3";"     3.3";"     5.1";"    10.8";"     6.9";"     0.8"
"4";"1999JJ00";"    21.9";"    19.9";"    16.6";"     3.3";"     2.1";"     0.2";"    -0.3";"  1386.5";"     5.7";"    20.3";"  1286.8";"    19.9";"    16.6";"     6.0";"     5.3";"     0.7";"     6.4";"     4.8";"     1.6";"     4.2";"     1.4";"     2.8";"     3.3";"     1.7";"     1.5";"     0.0";"     5.1";"     4.3";"     1.5";"     1.7";"     1.1";"     0.8";"     3.6";"     5.9";"    11.7";"     7.5";"     3.4";"     5.4";"    10.9";"     7.0";"     0.8"
"5";"2000JJ00";"    23.8";"    21.5";"    18.0";"     3.5";"     2.4";"     0.3";"    -0.4";"  1502.0";"     5.7";"    21.2";"  1338.3";"    21.5";"    18.0";"     6.6";"     5.9";"     0.7";"     7.1";"     5.2";"     1.8";"     4.4";"     1.5";"     2.9";"     3.5";"     1.7";"     1.7";"     0.0";"     5.1";"     4.3";"     1.6";"     1.7";"     1.0";"     0.8";"     4.0";"     6.4";"    11.8";"     7.5";"     3.5";"     5.7";"    10.5";"     6.7";"     0.9"
"6";"2001JJ00";"    26.0";"    23.8";"    20.0";"     3.8";"     2.3";"     0.3";"    -0.4";"  1628.3";"     5.8";"    22.1";"  1380.4";"    23.8";"    20.0";"     7.5";"     6.7";"     0.8";"     7.8";"     5.9";"     2.0";"     4.7";"     1.6";"     3.1";"     3.8";"     1.9";"     1.9";"     0.0";"     5.3";"     4.5";"     1.7";"     1.7";"     1.1";"     0.9";"     4.5";"     7.0";"    12.4";"     8.0";"     3.8";"     5.9";"    10.5";"     6.8";"     0.9"
"7";"2002JJ00";"    27.8";"    25.8";"    21.5";"     4.2";"     2.2";"     0.4";"    -0.5";"  1728.8";"     6.0";"    22.7";"  1411.9";"    25.8";"    21.5";"     8.3";"     7.4";"     0.9";"     8.3";"     6.2";"     2.1";"     4.9";"     1.7";"     3.3";"     4.2";"     2.0";"     2.2";"     0.1";"     5.5";"     4.6";"     1.8";"     1.8";"     1.1";"     0.9";"     5.0";"     7.4";"    12.8";"     8.4";"     4.1";"     6.0";"    10.4";"     6.9";"     1.1"
"8";"2003JJ00";"    29.9";"    27.3";"    22.8";"     4.5";"     2.7";"     0.3";"    -0.4";"  1849.2";"     6.3";"    23.9";"  1477.7";"    27.3";"    22.8";"     9.1";"     8.0";"     1.1";"     8.7";"     6.4";"     2.3";"     5.1";"     1.7";"     3.4";"     4.5";"     2.1";"     2.3";"     0.1";"     5.7";"     4.8";"     1.9";"     1.8";"     1.1";"     0.9";"     5.4";"     7.6";"    13.0";"     8.5";"     4.3";"     6.1";"    10.4";"     6.8";"     1.1"
"9";"2004JJ00";"    31.2";"    28.3";"    23.5";"     4.8";"     3.0";"     0.3";"    -0.4";"  1919.2";"     6.4";"    24.8";"  1522.8";"    28.3";"    23.5";"     9.0";"     7.9";"     1.1";"     9.1";"     6.7";"     2.4";"     5.3";"     1.8";"     3.5";"     4.8";"     2.4";"     2.4";"     0.1";"     5.8";"     4.8";"     1.8";"     1.9";"     1.1";"     1.0";"     5.4";"     7.9";"    13.1";"     8.5";"     4.3";"     6.2";"    10.4";"     6.7";"     1.2"
"10";"2005JJ00";"    32.6";"    29.6";"    24.8";"     4.8";"     3.1";"     0.3";"    -0.4";"  1998.0";"     6.3";"    25.2";"  1548.0";"    29.6";"    24.8";"     9.4";"     8.3";"     1.1";"     9.8";"     7.2";"     2.6";"     5.6";"     1.9";"     3.7";"     4.8";"     2.2";"     2.5";"     0.1";"     5.8";"     4.8";"     1.8";"     1.9";"     1.1";"     0.9";"     5.6";"     8.1";"    13.5";"     8.6";"     4.4";"     6.3";"    10.4";"     6.7";"     1.3"
"11";"2006JJ00";"    34.0";"    30.2";"    25.4";"     4.8";"     3.8";"     0.3";"    -0.4";"  2078.9";"     6.3";"    25.9";"  1583.1";"    30.2";"    25.4";"     9.5";"     8.4";"     1.1";"    10.2";"     7.2";"     3.0";"     5.7";"     2.0";"     3.8";"     4.8";"     2.3";"     2.5";"     0.1";"     5.6";"     4.7";"     1.8";"     1.9";"     1.1";"     0.9";"     5.7";"     8.3";"    13.5";"     8.6";"     4.3";"     6.3";"    10.3";"     6.6";"     1.4"
"12";"2007JJ00";"    35.2";"    31.6";"    26.4";"     5.2";"     3.5";"     0.4";"    -0.3";"  2148.9";"     6.2";"    26.3";"  1610.3";"    31.6";"    26.4";"     9.6";"     8.4";"     1.2";"    10.8";"     7.7";"     3.1";"     6.0";"     2.1";"     3.9";"     5.2";"     2.3";"     2.8";"     0.1";"     5.6";"     4.6";"     1.7";"     1.9";"     1.1";"     0.9";"     5.8";"     8.7";"    13.8";"     8.9";"     4.3";"     6.5";"    10.3";"     6.7";"     1.5"
"13";"2008JJ00";"    37.6";"    33.2";"    27.7";"     5.6";"     4.3";"     0.5";"    -0.5";"  2290.0";"     6.3";"    27.4";"  1669.7";"    33.2";"    27.7";"    10.1";"     8.9";"     1.2";"    11.2";"     7.9";"     3.3";"     6.3";"     2.3";"     4.1";"     5.6";"     2.4";"     3.1";"     0.1";"     5.6";"     4.6";"     1.7";"     1.9";"     1.1";"     0.9";"     6.1";"     9.1";"    14.1";"     9.2";"     4.4";"     6.6";"    10.3";"     6.7";"     1.4"
